Atlas_Clean_Name,Summit_Clean_Name,Similarity_Score,Decision
vantigo aa analytics,,,NO_MATCH
jorvik aa biosystems,jorvik gi biosystems,85.0,ACCEPT
arvello aa biosystems,arvello aa biosys,89.5,ACCEPT
praxon ba clinics,,,NO_MATCH
veltrix ca cloudworks,,,NO_MATCH
xylera cb diagnostics,xylera fc diagnostics,85.7,ACCEPT
tarsen db gridworks,,,NO_MATCH
javora eb,,,NO_MATCH
meroxa eb,,,NO_MATCH
iskora eb imaging,,,NO_MATCH
avenor fb logistics,avenor cr logistics,89.5,ACCEPT
quenvale fc logistics,,,NO_MATCH
rovian fc logistics,,,NO_MATCH
solvanta fc logistics,solvanta lk logistics,90.5,ACCEPT
fintara gc mobility,fintara jw mobility,89.5,ACCEPT
lorven gc mobility,lorven hl mobility,88.9,ACCEPT
solvanta gc networks,solvanta es networks,90.0,ACCEPT
avenor hc payments,avenor iz payments,88.9,ACCEPT
falvera id pharma,falvera pd pharma,94.1,ACCEPT
zentara jd robotics,zentara dz robotics,94.7,ACCEPT
braxen ke supply,braxen ln supply,87.5,ACCEPT
sorevia le therapeutics,sorevia fa therapeutics,91.3,ACCEPT
galvex me training,galvex ot training,88.9,ACCEPT
yantara nf transport,yantara pg transport,90.0,ACCEPT
prysmar of warehousing,prysmar me warehousing,90.9,ACCEPT
ostera of wellness,ostera ai wellness,88.9,ACCEPT
prysmar qg biosystems,prysmar qg biosys,89.5,ACCEPT
vantigo qg clinics,,,NO_MATCH
iskora qg clinics,iskora yq clinics,94.1,ACCEPT
braxen rg cloudworks,braxen ir cloudworks,95.0,ACCEPT
lunaro rg cloudworks,helvar rg cloudworks,85.0,REJECT
tarsen rg cloudworks,tarsen sd cloudworks,90.0,ACCEPT
prysmar rg components,,,NO_MATCH
arvello rg components,arvello yy components,90.5,ACCEPT
sorevia sh diagnostics,sorevia sl diagnostics,95.5,ACCEPT
uldora th foods,uldora nm foods,86.7,ACCEPT
lunaro th,,,NO_MATCH
novaris th,,,NO_MATCH
mavrix ui logistics,mavrix nl logistics,89.5,ACCEPT
tervano vi logistics,,,NO_MATCH
uldora wi mobility,,,NO_MATCH
arvello wi networks,arvello od networks,89.5,ACCEPT
deltora wi networks,deltora vq networks,89.5,ACCEPT
solvanta xj payments,solvanta ci payments,85.0,ACCEPT
arvello xj payments,arvello pm payments,89.5,ACCEPT
vantigo yj robotics,vantigo zj robotics sys,85.7,ACCEPT
falvera zj security,,,NO_MATCH
calvion zj software,,,NO_MATCH
wendora ak software,wendora pq software,89.5,ACCEPT
rovian ck training,,,NO_MATCH
iskora dl warehousing,iskora eh warehousing,90.5,ACCEPT
wendora fm analytics,wendora fz analytics,95.0,ACCEPT
yantara fm analytics,yantara xg analytics,90.0,ACCEPT
praxon gm clinics,praxon hi clinics,88.2,ACCEPT
falvera hn diagnostics,falvera kb diagnostics,90.9,ACCEPT
calvion in foods,calvion wo foods,87.5,ACCEPT
dorsen jn,,,NO_MATCH
dorsen kn logistics,,,NO_MATCH
